keyword,id,result_order,year,HTML,Text,pdf,DOC,other_type,book,edu,org,com,other_domain,exact_keyword_title,all_word,citation#,title_length,occurences_title,colon,doc,survey,tutorial,review,position_k,position_d,label,title,src
machine learning,2194775991,1,2016,False,False,False,False,False,False,False,False,False,False,False,False,76343,44,0,False,False,False,False,False,0.0,0.0,1,Deep Residual Learning for Image Recognition,http://dblp.uni-trier.de/db/conf/cvpr/cvpr2016.html#HeZRS16
machine learning,2618530766,2,2017,False,False,False,False,False,False,False,False,False,False,False,False,8997,63,0,False,False,False,False,False,0.0,0.0,1,ImageNet classification with deep convolutional neural networks,https://dl.acm.org/citation.cfm?id=3098997.3065386
machine learning,2626778328,3,2017,False,False,True,False,False,False,False,False,False,False,False,False,6545,25,0,False,False,False,False,False,0.0,0.0,1,Attention Is All You Need,https://arxiv.org/pdf/1706.03762v5
machine learning,2097117768,4,2015,False,False,True,False,False,False,False,False,False,False,False,False,22952,30,0,False,False,False,False,False,0.0,0.0,1,Going deeper with convolutions,http://static.googleusercontent.com/media/research.google.com/en/us/pubs/archive/43022.pdf
genetic algorithm,2126105956,1,2002,False,False,False,False,False,False,False,False,False,False,True,False,27432,60,2,True,False,False,False,False,0.625,0.0,0,A fast and elitist multiobjective genetic algorithm: NSGA-II,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=996017&isnumber=21497
genetic algorithm,2290883490,2,2016,False,False,False,False,False,False,False,False,False,False,False,False,3108,32,0,False,False,False,False,False,0.0,0.0,1,The Whale Optimization Algorithm,http://dx.doi.org/10.1016/j.advengsoft.2016.01.008
genetic algorithm,2951464652,3,2010,False,False,True,False,False,False,False,False,False,False,False,False,18,30,0,False,False,False,False,False,0.0,0.0,1,Cuckoo Search via Levy Flights,https://arxiv.org/pdf/1003.1594v1
genetic algorithm,2143381319,4,2007,False,False,False,False,False,False,False,False,False,False,False,False,4592,70,0,True,False,False,False,False,0.0,0.0,0,MOEA/D: A Multiobjective Evolutionary Algorithm Based on Decomposition,http://dx.doi.org/10.1109/TEVC.2007.892759
genetic algorithm,2152150600,5,1989,True,False,False,False,False,False,False,False,False,False,False,False,10138,28,0,False,False,False,False,False,0.0,0.0,-1,Genetic Algorithms in Search,https://ci.nii.ac.jp/naid/10000038763
deep learning,2194775991,1,2016,False,False,False,False,False,False,False,False,False,False,False,False,76343,44,0,False,False,False,False,False,0.0,0.0,1,Deep Residual Learning for Image Recognition,http://dblp.uni-trier.de/db/conf/cvpr/cvpr2016.html#HeZRS16
deep learning,2163605009,2,2012,False,False,False,False,False,False,False,False,False,False,False,False,47067,63,0,False,False,False,False,False,0.0,0.0,1,ImageNet Classification with Deep Convolutional Neural Networks,http://papers.nips.cc/paper/4824-imagenet-classification-with-deep-convolutional-neural-networks?source=your_stories_page---------------------------
deep learning,2919115771,3,2015,True,False,False,False,False,False,False,False,False,False,False,False,33173,13,1,False,False,False,False,False,0.5,0.0,1,Deep learning,https://www.nature.com/articles/nature14539
deep learning,1901129140,4,2015,False,False,True,False,False,False,False,False,False,False,False,False,26298,63,0,True,False,False,False,False,0.0,0.0,1,U-Net: Convolutional Networks for Biomedical Image Segmentation,https://link.springer.com/content/pdf/10.1007%2F978-3-319-24574-4_28.pdf
deep learning,2095705004,5,2014,False,False,False,False,False,False,False,False,False,False,False,False,22047,65,0,True,False,False,False,False,0.0,0.0,1,Dropout: a simple way to prevent neural networks from overfitting,http://dblp.uni-trier.de/db/journals/jmlr/jmlr15.html#SrivastavaHKSS14
data mining,2912565176,1,1996,False,False,False,False,True,True,False,False,False,False,False,False,48501,10,0,False,False,False,False,False,0.0,0.0,-1,Fuzzy sets,http://dl.acm.org/citation.cfm?id=234356
data mining,1880262756,2,2003,False,False,True,False,False,False,False,False,False,False,False,False,25739,27,0,False,False,False,False,False,0.0,0.0,-1,Latent dirichlet allocation,https://www.jmlr.org/papers/volume3/blei03a/blei03a.pdf
data mining,2295598076,3,2016,False,False,False,False,False,False,False,False,False,False,False,False,6868,40,0,True,False,False,False,False,0.0,0.0,1,XGBoost: A Scalable Tree Boosting System,http://inspirehep.net/record/1632415/plots
data mining,1554944419,4,2013,True,False,False,False,False,True,False,False,False,False,False,False,18826,76,0,True,False,False,False,False,0.0,0.0,1,"The Elements of Statistical Learning: Data Mining, Inference, and Prediction",https://ci.nii.ac.jp/ncid/BA89336082
data mining,2141052558,5,2014,False,False,False,False,False,False,False,False,False,False,False,False,17202,89,0,True,False,False,False,False,0.0,0.0,1,RAxML version 8: a tool for phylogenetic analysis and post-analysis of large phylogenies.,http://dblp.uni-trier.de/db/journals/bioinformatics/bioinformatics30.html#Stamatakis14
cloud computing,2950094539,1,2014,False,False,True,False,False,False,False,False,False,False,False,False,2631,60,0,True,False,False,False,False,0.0,0.0,1,Caffe: Convolutional Architecture for Fast Feature Embedding,http://export.arxiv.org/pdf/1408.5093
cloud computing,2275530856,2,2011,True,False,False,False,False,False,False,False,False,False,False,False,10520,38,0,False,False,False,False,False,0.0,0.0,1,The NIST Definition of Cloud Computing,https://4f0imd322ifhg1y4zfwk3wr7-wpengine.netdna-ssl.com/wp-content/uploads/2013/03/SP800-145.pdf
cloud computing,2953060200,3,2012,False,False,True,False,False,False,False,False,False,False,False,False,25,81,0,True,False,False,False,False,0.0,0.0,0,"Internet of Things (IoT): A Vision, Architectural Elements, and Future Directions",https://arxiv.org/pdf/1207.0203.pdf
support vector machine,2102605133,1,2014,False,False,False,False,False,False,False,False,False,False,False,False,14070,80,0,False,False,False,False,False,0.0,0.0,1,Rich Feature Hierarchies for Accurate Object Detection and Semantic Segmentation,http://doi.org/10.1109/CVPR.2014.81
support vector machine,2153635508,2,2011,False,False,True,False,False,False,False,False,False,False,True,False,36157,45,3,True,False,False,False,False,0.6428571428571429,0.0,1,LIBSVM: A library for support vector machines,http://ntur.lib.ntu.edu.tw/bitstream/246246/20060927122847351581/1/libsvm.pdf
support vector machine,2161969291,3,2005,False,False,False,False,False,False,False,False,False,False,False,False,24146,52,0,False,False,False,False,False,0.0,0.0,1,Histograms of oriented gradients for human detection,http://dblp.uni-trier.de/db/conf/cvpr/cvpr2005-1.html#DalalT05
support vector machine,2168356304,4,2010,False,False,False,False,False,False,False,False,False,False,False,False,8066,64,0,False,False,False,False,False,0.0,0.0,0,Object Detection with Discriminatively Trained Part-Based Models,http://cms.brookes.ac.uk/research/visiongroup/talks/rg_dec_11_09/latentmix.pdf
support vector machine,2164278908,5,2011,False,False,False,False,False,True,False,False,False,False,False,False,12200,101,0,False,False,False,False,False,0.0,0.0,-1,Distributed Optimization and Statistical Learning Via the Alternating Direction Method of Multipliers,http://dx.doi.org/10.1561/9781601984616
clustering,2108598243,1,2009,False,False,False,False,False,False,False,False,False,False,False,False,27079,51,0,True,False,False,False,False,0.0,0.0,1,ImageNet: A large-scale hierarchical image database,http://dx.doi.org/10.1109/CVPRW.2009.5206848
clustering,3099206234,2,2015,False,False,True,False,False,False,False,False,False,False,False,False,660,64,0,True,False,False,False,False,0.0,0.0,1,FaceNet: A Unified Embedding for Face Recognition and Clustering,http://export.arxiv.org/pdf/1503.03832
clustering,2169456326,3,2013,True,False,False,False,False,False,False,False,False,False,False,False,18644,41,0,True,False,False,False,False,0.0,0.0,1,STAR: ultrafast universal RNA-seq aligner,http://europepmc.org/article/MED/23104886
clustering,2106335692,4,2000,False,False,False,False,False,False,False,False,False,False,False,False,11902,73,0,False,False,False,False,False,0.0,0.0,-1,Energy-efficient communication protocol for wireless microsensor networks,http://dx.doi.org/10.1109/HICSS.2000.926982
feature selection,2122825543,1,2005,False,False,False,False,False,False,False,False,False,False,False,False,11777,57,1,False,False,False,False,False,0.375,0.0,1,Regularization and variable selection via the elastic net,http://onlinelibrary.wiley.com/resolve/doi?DOI=10.1111/j.1467-9868.2005.00503.x
feature selection,2063978378,2,2004,False,False,True,False,False,False,False,False,False,False,False,False,7238,22,0,False,False,False,False,False,0.0,0.0,-1,Least angle regression,http://www.stat.ucla.edu/~sczhu/Courses/UCLA/Stat_232B/chapters/LeastAngleRegression_2002.pdf
feature selection,2119479037,3,2003,False,False,True,False,False,False,False,False,False,False,True,True,11594,49,2,False,False,False,False,False,0.7857142857142857,0.0,0,An introduction to variable and feature selection,http://brendelgroup.org/WikiVB/data/media/home/research/krisnna/an_introduction_to_variable_and_feature_selection.pdf
feature selection,2011430131,4,2010,False,False,False,False,False,False,False,False,False,False,False,False,5540,40,0,True,False,False,False,False,0.0,0.0,1,Data clustering: 50 years beyond K-means,https://www.mendeley.com/catalogue/data-clustering-50-years-beyond-kmeans/
feature selection,2143426320,5,2002,False,False,True,False,False,False,False,False,False,False,False,False,6825,70,0,False,False,False,False,False,0.0,0.0,-1,Gene Selection for Cancer Classification using Support Vector Machines,http://homepages.rpi.edu/~bennek/class/mmld/papers/Guyon_GeneSelection_2000.pdf
neural network,2949650786,1,2015,False,False,True,False,False,False,False,False,False,False,False,False,3524,44,0,False,False,False,False,False,0.0,0.0,1,Deep Residual Learning for Image Recognition,https://arxiv.org/pdf/1512.03385.pdf
neural network,2618530766,2,2017,False,False,False,False,False,False,False,False,False,False,True,False,8997,63,2,False,False,False,False,False,0.7142857142857143,0.0,1,ImageNet classification with deep convolutional neural networks,https://dl.acm.org/citation.cfm?id=3098997.3065386
