keyword, url, authos, title, year, numberofcitation

machine learning,https://tcxsproject.com.br/dev/Biblioteca%20Livros%20Hacker%20Gorpo%20Orko/Machine%20Learning%20Tutorial.pdf,['WL Chao'], Machine learning tutorial,2011,32

machine learning,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2892746/,"['F Pereira', 'T Mitchell', 'M Botvinick']",Machine learning classifiers and fMRI: a tutorial overview,2009,1554

machine learning,https://ieeexplore.ieee.org/abstract/document/7486188/,"['S Dev', 'B Wen', 'YH Lee', 'S Winkler']",Ground-based image analysis: A tutorial on machine-learning techniques and applications,2016,36

genetic algorithm,https://www.researchgate.net/profile/Debnath-Bhattacharyya/publication/228569652_Genetic_Algorithm_A_Tutorial_Review/links/09e4150ff1c2e00cc2000000/Genetic-Algorithm-A-Tutorial-Review.pdf,"['DM Mukhopadhyay', 'MO Balitanas… ']", Genetic algorithm: A tutorial review,2009,50

genetic algorithm,http://papers.cumincad.org/cgi-bin/works/paper/eaca,['L Davis '],Handbook of genetic algorithms,1991,10730

genetic algorithm,https://en.cnki.com.cn/Article_en/CJFDTotal-JYRJ200402031.htm,['J Genlin '],Survey on genetic algorithm ,2004,107

genetic algorithm,https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.1003.6618&rep=rep1&type=pdf,"['A Thengade', ' R Dondal ']", Genetic algorithm–survey paper,2012,49

genetic algorithm,https://www.researchgate.net/profile/Rahila_Patel/publication/324132613_Genetic_Algorithm_Based_Clustering_A_Survey/links/5abfdf17aca27222c759b5a1/Genetic-Algorithm-Based-Clustering-A-Survey.pdf,"['RH Sheikh', 'MM Raghuwanshi… ']",Genetic algorithm based clustering: a survey,2008,132

genetic algorithm,https://ieeexplore.ieee.org/abstract/document/294849/,"['M Srinivas', 'LM Patnaik']",Genetic algorithms: A survey,1994,2520

deep learning,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.366.4088&rep=rep1&type=pdf,"['Y LeCun', 'M Ranzato']", Deep learning tutorial,2013,102

deep learning,https://www.academia.edu/download/50993030/Deep_Learning_for_Remote_Sensing_Data.pdf,"['L Zhang', 'L Zhang', 'B Du']",Deep learning for remote sensing data: A technical tutorial on the state of the art,2016,1014

deep learning,https://dl.acm.org/doi/abs/10.5555/2390500.2390505,"['R Socher', 'Y Bengio', 'CD Manning']",Deep learning for NLP ,2012,146

deep learning,https://fardapaper.ir/mohavaha/uploads/2018/07/Fardapaper-A-survey-on-deep-learning-for-big-data.pdf,"['Q Zhang', 'LT Yang', ' Z Chen', 'P Li']",A survey on deep learning for big data,2018,549

data mining,https://books.google.com/books?hl=en&lr=&id=v3ANDgAAQBAJ&oi=fnd&pg=PP1&dq=data+mining+tutorial&ots=rpfh-66Ue-&sig=eaR8DOSl1O3sDKrcRuc2-1Fts48,['RJ Roiger '],Data mining: a tutorial-based primer,2017,713

data mining,http://georges.gardarin.free.fr/Cours_BD_Web/SQLServer_DM.pdf,"['S Paul', ' J MacLennan', ' Z Tang… ']", Data Mining Tutorial,2005,16

data mining,https://pdfs.semanticscholar.org/1aad/a682962c7f895243f5c340ee33b2f571f337.pdf,['J Jackson '],Data mining; a conceptual overview,2002,215

data mining,https://files.eric.ed.gov/fulltext/EJ1115376.pdf,"[""S D'Mello"", 'A Olney', 'N Person']",Mining collaborative patterns in tutorial dialogues.,2010,81

data mining,https://cs.ou.edu/~database/documents/gg99.pdf,"['M Goebel', ' L Gruenwald ']",A survey of data mining and knowledge discovery software tools,1999,620

data mining,https://arxiv.org/pdf/1211.5723,"['N Padhy', 'D Mishra', 'R Panigrahi']",The survey of data mining applications and feature scope,2012,297

cloud computing,http://www.vldb.org/archives/website/2010/proceedings/files/papers/T02.pdf,"['D Agrawal', 'S Das', 'A El Abbadi']",Big data and cloud computing: new wine or just new bottles?,2010,143

support vector machine,https://course.ccs.neu.edu/cs5100f11/resources/jakkula.pdf,['V Jakkula'], Tutorial on support vector machine ,2006,188

support vector machine,http://i2pc.es/coss/Docencia/SignalProcessingReviews/Smola2004.pdf,"['AJ Smola', 'B Schölkopf']",A tutorial on support vector regression,2004,11067

support vector machine,https://pdfs.semanticscholar.org/b60c/f0f3375e8192ebd86fc7af02c514eca3be4e.pdf,"['PH Chen', 'CJ Lin', 'B Schölkopf']",A tutorial on ν‐support vector machines,2005,521

support vector machine,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.437.1036&rep=rep1&type=pdf,['A Pradhan'], Support vector machine-a survey,2012,83

support vector machine,https://www.researchgate.net/profile/Janmenjoy_Nayak/publication/291748219_A_comprehensive_survey_on_support_vector_machine_in_data_mining_tasks_Applications_challenges/links/58db2c89aca272d8010ae3e4/A-comprehensive-survey-on-support-vector-machine-in-data-mining-tasks-Applications-challenges.pdf,"['J Nayak', 'B Naik', 'H Behera']", A comprehensive survey on support vector machine in data mining tasks: applications & challenges,2015,99

support vector machine,https://ieeexplore.ieee.org/abstract/document/4623990/,['G Wang '],A survey on training algorithms for support vector machine classifiers,2008,47

support vector machine,https://ieeexplore.ieee.org/abstract/document/7882747/,"['U Maulik', 'D Chakraborty']",Remote Sensing Image Classification: A survey of support-vector-machine-based advanced techniques,2017,90

clustering,http://sigitwidiyanto.staff.gunadarma.ac.id/Downloads/files/38034/M8-Note-kMeans.pdf,['K Teknomo'], K-means clustering tutorial,2006,142

clustering,https://www.academia.edu/download/33330615/tran2005.pdf,"['TN Tran', ' R Wehrens', 'LMC Buydens']",Clustering multispectral images: a tutorial,2005,140

clustering,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1763&context=ele_comeng_facwork,"['R Xu', 'D Wunsch']",Survey of clustering algorithms,2005,6577

model check,"ftp://nozdr.ru/biblio/kolxoz/Cs/CsLn/Modeling%20and%20Verification%20of%20Parallel%20Processes,%204%20school,%20MOVEP%202000(LNCS2067,%20Springer,%202001)(ISBN%203540427872)(227s).pdf#page=9",['S Merz'],Model checking: A tutorial overview,2000,202

security,http://www.sis.pitt.edu/jjoshi/courses/IS2150/Fall11/CSIsurvey2008.pdf,"['R Richardson', ' CSI Director ']", CSI computer crime and security survey,2008,825

security,https://books.google.com/books?hl=en&lr=&id=fLmgIGT18jIC&oi=fnd&pg=PP1&dq=security+survey&ots=q4F-tnjFIY&sig=HafGBJDPfcCWQpkhfdVrf4xgRZA,"['JF Broder', ' E Tucker ']", Risk analysis and the security survey,2011,74

security,https://www.researchgate.net/profile/Richard_Hollinger2/publication/267683436_2002_National_Retail_Security_Survey_Final_Report/links/54d2827c0cf25017917e5d65.pdf,"['RC Hollinger', 'DA Dabney', ' G Lee', 'R Hayes']", National retail security survey,1990,122

optimization,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.332.3150&rep=rep1&type=pdf,['H Hindi'],A tutorial on convex optimization,2004,132

optimization,http://romisatriawahono.net/lecture/rm/survey/softcomputing/Boussaid%20-%20Optimization%20Metaheuristics%20-%202013.pdf,"['I Boussaïd', ' J Lepagnot', 'P Siarry']",A survey on optimization metaheuristics,2013,1244

optimization,https://www.researchgate.net/profile/Jasbir_Arora4/publication/225153273_Survey_of_Multi-Objective_Optimization_Methods_for_Engineering/links/5462358d0cf2c0c6aec1ab30/Survey-of-Multi-Objective-Optimization-Methods-for-Engineering.pdf,"['RT Marler', ' JS Arora ']",Survey of multi-objective optimization methods for engineering,2004,4372

feature selection,https://www.researchgate.net/profile/Samuel_Huang9/publication/275228384_Supervised_feature_selection_A_tutorial/links/5a1d720f0f7e9b2a531726a3/Supervised-feature-selection-A-tutorial.pdf,['SH Huang '], Supervised feature selection: A tutorial.,2015,64

feature selection,http://romisatriawahono.net/lecture/rm/survey/machine%20learning/Chandrashekar%20-%20Feature%20Selection%20Methods%20-%202014.pdf,"['G Chandrashekar', 'F Sahin']",A survey on feature selection methods,2014,2554

feature selection,https://www.sciencedirect.com/science/article/pii/S1877050916313047/pdf?md5=575f2dde690b9dbc82066a64864ba932&pid=1-s2.0-S1877050916313047-main.pdf&_valck=1,"['J Miao', ' L Niu ']",A survey on feature selection,2016,168

neural network,https://www.researchgate.net/profile/Samreen_Sid/post/rookie/attachment/59d61d8cc49f478072e97144/AS%3A271736812048384%401441798512764/download/1993+Backpropagation+neural+networks+A+tutorial.pdf,['BJ Wythoff '],Backpropagation neural networks: a tutorial,1993,271

neural network,http://metalab.uniten.edu.my/~abdrahim/mitm613/Jain1996_ANN%20-%20A%20Tutorial.pdf,"['AK Jain', 'J Mao', ' KM Mohiuddin ']",Artificial neural networks: A tutorial,1996,3313

neural network,https://www.sciencedirect.com/science/article/pii/037015739190146D,['I Guyon'],Neural networks and applications tutorial,1991,32

neural network,https://www.sciencedirect.com/science/article/pii/S2405844018332067,"['OI Abiodun', 'A Jantan', 'AE Omolara', ' KV Dada… ']", State-of-the-art in artificial neural network applications: A survey,2018,303

neural network,https://pdfs.semanticscholar.org/7851/a608fbf8142f3082fec7f2ca19c30c425ad1.pdf,['S Timotheou'],The random neural network: a survey,2010,104

simulation,https://repository.lib.ncsu.edu/bitstream/handle/1840.4/5259/1992_0020.pdf?sequence=1&isAllowed=y,['F Azadivar '],A tutorial on simulation optimization,1992,167

simulation,https://ieeexplore.ieee.org/abstract/document/899706/,"['JR Swisher', ' PD Hyden', 'SH Jacobson… ']",A survey of simulation optimization techniques and procedures,2000,337

simulation,https://www.academia.edu/download/52709276/workshop_1.pdf,"['S Siraj', 'A Gupta', ' R Badgujar ']", Network simulation tools survey,2012,147

neural networks,http://metalab.uniten.edu.my/~abdrahim/mitm613/Jain1996_ANN%20-%20A%20Tutorial.pdf,"['AK Jain', 'J Mao', ' KM Mohiuddin ']",Artificial neural networks: A tutorial,1996,3313

neural networks,https://www.researchgate.net/profile/Samreen_Sid/post/rookie/attachment/59d61d8cc49f478072e97144/AS%3A271736812048384%401441798512764/download/1993+Backpropagation+neural+networks+A+tutorial.pdf,['BJ Wythoff '],Backpropagation neural networks: a tutorial,1993,271

neural networks,https://arxiv.org/pdf/1810.01989,"['W Xiang', 'P Musau', ' AA Wild', 'DM Lopez… ']","Verification for machine learning, autonomy, and neural networks survey",2018,41

artificial intelligence,https://arxiv.org/pdf/1307.3091,"['MGB Marietto', ' RV de Aguiar', ' GO Barbosa… ']",Artificial intelligence markup language: a brief tutorial,2013,51

ontology,https://ebooks.iospress.nl/pdf/doi/10.3233/SSW200032,"['C Shimizu', 'P Hitzler', 'A Krisnadhi']",Modular ontology modeling: A tutorial,2020,7

ontology,https://www.researchgate.net/profile/Marko_Grobelnik/publication/228857266_A_survey_of_ontology_evaluation_techniques/links/0046352655ed1ac5ed000000.pdf,"['J Brank', 'M Grobelnik', 'D Mladenic']", A survey of ontology evaluation techniques,2005,850

ontology,https://mds.marshall.edu/cgi/viewcontent.cgi?article=1004&context=wdcs_faculty,"['N Choi', 'IY Song', 'H Han']",A survey on ontology mapping,2006,767

wireless sensor network,https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.453.1867&rep=rep1&type=pdf,"['S Rein', 'M Reisslein']",Low-memory wavelet transforms for wireless sensor networks: A tutorial,2010,93

wireless sensor network,https://sites.google.com/a/unomaha.edu/ahvazsite/storage-current-research/08-yick-wireless-sensor-network-localization-coverage-survey-good.pdf,"['J Yick', 'B Mukherjee', 'D Ghosal']",Wireless sensor network survey,2008,7870

wireless sensor network,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.686.8840&rep=rep1&type=pdf,"['K Venkatraman', ' JV Daniel… ']", Various attacks in wireless sensor network: Survey,2013,61

logic program,https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.106.2679&rep=rep1&type=pdf,['JP Gallagher'],Tutorial on specialisation of logic programs,1993,222

logic program,https://search.proquest.com/openview/a32aa47a2da6cfd03599f91bc6192b6b/1?pq-origsite=gscholar&cbl=37787,['RE Davis '],Logic programming and prolog: a tutorial,1985,55

logic program,https://iris.unife.it/handle/11392/2350948,"['F Riguzzi', 'G Cota']",Probabilistic logic programming tutorial,2016,5

virtual reality,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1460-2466.1992.tb00811.x,['F Biocca'],Virtual reality technology: A tutorial,1992,235

virtual reality,https://www.sciencedirect.com/science/article/pii/S0924980X97000866,"['M Carrozzo', 'F Lacquaniti']",Virtual reality: a tutorial,1998,30

virtual reality,https://link.springer.com/content/pdf/10.1007/s11432-009-0066-0.pdf,['Q Zhao '],A survey on virtual reality,2009,107

virtual reality,http://www.ijac.net/en/article/2009/4,"['NN Zhou', 'YL Deng']",Virtual reality: A state-of-the-art survey,2009,66

particle swarm optimization,https://www.sciencedirect.com/science/article/pii/S0169743915002117,"['F Marini', 'B Walczak']",Particle swarm optimization . A tutorial,2015,478

particle swarm optimization,https://eclass.hmu.gr/modules/document/file.php/TP287/Evolutionary%20Computation/CIClassCh03_pso_tutorial.pdf,['J Blondin '], Particle swarm optimization: A tutorial,2009,94

particle swarm optimization,https://www.researchgate.net/profile/Alaa_Tharwat/publication/325575025_Particle_Swarm_Optimization-A_Tutorial/links/5b1689944585151f91fb916c/Particle-Swarm-Optimization-A-Tutorial.pdf,"['A Tharwat', 'T Gaber', 'AE Hassanien… ']",Particle swarm optimization: a tutorial,-1,14

particle swarm optimization,https://www.academia.edu/download/33797830/teori_dari_PSO.pdf,['B Santosa'], Tutorial particle swarm optimization,2006,41

particle swarm optimization,https://www.jstage.jst.go.jp/article/transinf/E92.D/7/E92.D_7_1354/_pdf,['K Kameyama'],Particle swarm optimization-a survey,2009,117

privacy,https://www.researchgate.net/profile/Minzhu_Xie2/publication/220908334_A_Practical_Parameterized_Algorithm_for_the_Individual_Haplotyping_Problem_MLF/links/0deec5328063473edc000000/A-Practical-Parameterized-Algorithm-for-the-Individual-Haplotyping-Problem-MLF.pdf#page=12,['C Dwork'],Differential privacy: A survey of results,2008,7045

privacy,https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.360.2915&rep=rep1&type=pdf,"['C Eubank', 'M Melara', 'D Perez']", Shining the floodlights on mobile web tracking-a privacy survey,2013,29

scheduling,http://www.bloechligair.ch/science/staffSchedulingTutorial.ps,['I Blöchliger '],Modeling staff scheduling problems. A tutorial,2004,137

scheduling,https://pubsonline.informs.org/doi/abs/10.1287/opre.25.1.45,"['SS Panwalkar', ' W Iskander ']",A survey of scheduling rules,1977,1582

face recognition,https://www.koreascience.or.kr/journal/view.jsp?kj=E1JBB0&py=2009&vnc=v5n2&sp=41,"['R Jafri', 'HR Arabnia']", A survey of face recognition techniques,2009,804

logic programming,https://www.sciencedirect.com/science/article/pii/0743106694900337,"['J Jaffar', 'MJ Maher']", Constraint logic programming: A survey,1994,1893

logic programming,https://books.google.com/books?hl=en&lr=&id=bTGQ9MQnjiAC&oi=fnd&pg=PR13&dq=logic+programming+tutorial&ots=uQQsVENJ07&sig=g6ED-u8Yx3iDPW-pKQ8pVmybG9I,['SH Nienhuys'], Foundations of inductive logic programming,1997,669

logic programming,https://www.informatik.uni-ulm.de/pm/fileadmin/pm/home/fruehwirth/pisa/clp-intro-ecrc-93-05.pdf,"['T Frühwirth', ' A Herold', ' V Küchenhoff… ']",Constraint logic programming,1992,144

logic programming,https://search.proquest.com/openview/a32aa47a2da6cfd03599f91bc6192b6b/1?pq-origsite=gscholar&cbl=37787,['RE Davis '],Logic programming and prolog: a tutorial,1985,55

augmented reality,https://ir.canterbury.ac.nz/bitstream/handle/10092/15494/ar-billinghurst-29Mar2015-journal.pdf?sequence=2,"['M Billinghurst', 'A Clark', 'G Lee']",A survey of augmented reality,2015,817

big data,https://www.academia.edu/download/46622259/Watson__Tutorial__Big_Data_Analytics__Concepts_Technologies_and_Applica.pdf,['HJ Watson'],"Tutorial: Big data analytics: Concepts, technologies, and applications",2014,347

big data,https://sci2s.ugr.es/sites/default/files/1-s2.0-S1566253517305912-main.pdf,['S Ramírez'],Big Data: Tutorial and guidelines on information and process fusion for analytics algorithms with MapReduce,2018,117

big data,https://dl.acm.org/doi/abs/10.1145/2623330.2630811,"['G Cormode', 'N Duffield']",Sampling for big data: a tutorial,2014,48

big data,http://vldb.org/pvldb/vol5/p2014_jensdittrich_vldb2012.pdf,"['J Dittrich', 'JA Quiané']",Efficient big data processing in Hadoop MapReduce,2012,327

big data,http://section.iaesonline.com/index.php/IJEEI/article/view/195/131,"['PSGA Sri', 'M Anusha']",Big data-survey,2016,28

information retrieval,http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.33.1855,['E Greengrass '],Information retrieval: A survey,2000,201

natural language processing,https://academic.oup.com/jamia/article/18/5/544/829676,"['PM Nadkarni', 'L Ohno']",Natural language processing: an introduction,2011,681

natural language processing,https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.100.4660&rep=rep1&type=pdf,['S Ahmad '], Tutorial on natural language processing,2007,17

feature extraction,http://clopinet.com/fextract-book/,"['I Guyon', 'S Gunn', ' M Nikravesh', 'LA Zadeh']", Feature extraction: foundations and applications,2008,2246

feature extraction,https://ieeexplore.ieee.org/abstract/document/1449207/,['MD Levine'],Feature extraction: A survey,1969,194

feature extraction,https://www.researchgate.net/profile/Shifei_Ding/publication/220637892_A_survey_on_feature_extraction_for_pattern_recognition/links/004635362454790ac8000000/A-survey-on-feature-extraction-for-pattern-recognition.pdf,"['S Ding', ' H Zhu', ' W Jia', ' C Su ']",A survey on feature extraction for pattern recognition,2012,91

wireless sensor networks,https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.453.1867&rep=rep1&type=pdf,"['S Rein', 'M Reisslein']",Low-memory wavelet transforms for wireless sensor networks: A tutorial,2010,93

wireless sensor networks,https://disalw3.epfl.ch/teaching/swarm_intelligence/ay_2006-07/exercises/SI_06-07_labhwk09_tutorial.pdf,"['D Estrin', 'A Sayeed', 'M Srivastava']", Wireless sensor networks,2002,162

wireless sensor networks,https://www.sciencedirect.com/science/article/pii/S0140366414001911,"['R Silva', 'JS Silva', 'F Boavida']",Mobility in wireless sensor networks–survey and proposal,2014,105

independent component analysis,https://books.google.com/books?hl=en&lr=&id=P0rROE-WFCwC&oi=fnd&pg=PR11&dq=independent+component+analysis+tutorial&ots=ku5mfgoLoU&sig=HbCXMtJraT3__4cJfqSub4J19VA,['JV Stone'],Independent component analysis: a tutorial introduction,2004,610

independent component analysis,https://arxiv.org/pdf/1404.2986,['J Shlens'],A tutorial on independent component analysis,2014,46

independent component analysis,https://arxiv.org/pdf/1404.1100&sa=U&ved=2ahUKEwi57Mfr0ZDpAhWtF6YKHfSxAck4ChAWMAZ6BAgEEAE&usg=AOvVaw2ccduDFnmcXvF-iGE-VXIM,['J Shlens'],A tutorial on principal component analysis,2014,2770

independent component analysis,http://pzs.dstu.dp.ua/DataMining/ica/bibl/Stone.pdf,['JV Stone'], Independent component analysis,2004,242

independent component analysis,http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.45.3488,['A Hyvärinen'],Survey on independent component analysis,1999,1849

independent component analysis,https://ieeexplore.ieee.org/abstract/document/1027042/,['KN Leach '],A survey paper on independent component analysis,2002,23

mobile robot,https://www.researchgate.net/profile/Urbano_Nunes/publication/220104213_Lie_algebra_application_to_mobile_robot_control_A_tutorial/links/00463520d58832819a000000.pdf,"['P Coelho', 'U Nunes']", Lie algebra application to mobile robot control: a tutorial,2003,90

mobile robot,https://www.jstage.jst.go.jp/article/jrsj1983/21/3/21_3_282/_pdf,"['A Yamashita', 'H Asama', ' T Arai', 'J Ota… ']",A survey on trends of mobile robot mechanisms,2003,19

business process,https://www.sciencedirect.com/science/article/pii/S0272696396001003,"['TR Rohleder', ' EA Silver ']",A tutorial on business process improvement,1997,136

fuzzy logic,https://www.researchgate.net/profile/Ljubomir_Jacic2/post/What_is_the_best_book_for_learning_and_teaching_Fuzzy_logic/attachment/59d62bd8c49f478072e9db25/AS:273538471137283@1442228061710/download/Tutorial+On+Fuzzy+Logic.pdf,['J Jantzen'], Tutorial on fuzzy logic,1998,200

