machine learning,http://disp.ee.ntu.edu.tw/~pujols/Machine%20Learning%20Tutorial.pdf,['WL Chao'], Machine learning tutorial,2011,34
lsh,http://ssi1.eprints-hosting.org/id/eprint/3/8/43819.pdf,['M Slaney'],Optimal LSH,-1,-1
data mining,https://www.taylorfrancis.com/books/mono/10.1201/9781315382586/data-mining-richard-roiger,['RJ Roiger '], Data mining: a tutorial-based primer,2017,742
data mining,http://georges.gardarin.free.fr/Cours_BD_Web/SQLServer_DM.pdf,"['S Paul', ' J MacLennan', ' Z Tang… ']", Data Mining Tutorial,2005,15
data mining,https://www.researchgate.net/profile/Stephen-Roberts-17/publication/265527887_A_Data_Mining_Tutorial/links/54ad0c3d0cf24aca1c6bb3f3/A-Data-Mining-Tutorial.pdf,"['G Williams', 'M Hegland', 'S Roberts']", A data mining tutorial,1998,8
data mining,https://cs.ou.edu/~database/documents/gg99.pdf,"['M Goebel', ' L Gruenwald ']",A survey of data mining and knowledge discovery software tools,1999,646
data mining,https://arxiv.org/pdf/1211.5723,"['N Padhy', 'D Mishra', 'R Panigrahi']",The survey of data mining applications and feature scope,2012,303
data mining,https://www.academia.edu/download/44962768/A_survey_of_data_mining_techniques_appli20160421-14314-xnoewq.pdf,"['A Mucherino', 'P Papajorgji', 'PM Pardalos']",A survey of data mining techniques applied to agriculture,2009,148
data mining,https://www.taylorfrancis.com/books/mono/10.1201/9781315382586/data-mining-richard-roiger,['RJ Roiger '], Data mining: a tutorial-based primer,2017,-1
data mining,http://georges.gardarin.free.fr/Cours_BD_Web/SQLServer_DM.pdf,"['S Paul', ' J MacLennan', ' Z Tang… ']", Data Mining Tutorial,2005,-1
data mining,http://unbox.org/open/trunk/573/13/fall/doc/img/chapter-v4.pdf,['T Menzies'], Data mining: a tutorial,2014,-1
data mining,https://www.researchgate.net/profile/Stephen-Roberts-17/publication/265527887_A_Data_Mining_Tutorial/links/54ad0c3d0cf24aca1c6bb3f3/A-Data-Mining-Tutorial.pdf,"['G Williams', 'M Hegland', 'S Roberts']", A data mining tutorial,1998,-1
data mining,https://cs.ou.edu/~database/documents/gg99.pdf,"['M Goebel', ' L Gruenwald ']",A survey of data mining and knowledge discovery software tools,1999,-1
data mining,https://arxiv.org/pdf/1211.5723,"['N Padhy', 'D Mishra', 'R Panigrahi']",The survey of data mining applications and feature scope,2012,-1
data mining,https://www.academia.edu/download/44962768/A_survey_of_data_mining_techniques_appli20160421-14314-xnoewq.pdf,"['A Mucherino', 'P Papajorgji', 'PM Pardalos']",A survey of data mining techniques applied to agriculture,2009,-1
data mining,https://www.taylorfrancis.com/books/mono/10.1201/9781315382586/data-mining-richard-roiger,['RJ Roiger '], Data mining: a tutorial-based primer,2017,-1
data mining,http://georges.gardarin.free.fr/Cours_BD_Web/SQLServer_DM.pdf,"['S Paul', ' J MacLennan', ' Z Tang… ']", Data Mining Tutorial,2005,-1
data mining,http://unbox.org/open/trunk/573/13/fall/doc/img/chapter-v4.pdf,['T Menzies'], Data mining: a tutorial,2014,-1
data mining,https://www.researchgate.net/profile/Stephen-Roberts-17/publication/265527887_A_Data_Mining_Tutorial/links/54ad0c3d0cf24aca1c6bb3f3/A-Data-Mining-Tutorial.pdf,"['G Williams', 'M Hegland', 'S Roberts']", A data mining tutorial,1998,-1
data mining,https://cs.ou.edu/~database/documents/gg99.pdf,"['M Goebel', ' L Gruenwald ']",A survey of data mining and knowledge discovery software tools,1999,-1
data mining,https://arxiv.org/pdf/1211.5723,"['N Padhy', 'D Mishra', 'R Panigrahi']",The survey of data mining applications and feature scope,2012,-1
data mining,https://www.academia.edu/download/44962768/A_survey_of_data_mining_techniques_appli20160421-14314-xnoewq.pdf,"['A Mucherino', 'P Papajorgji', 'PM Pardalos']",A survey of data mining techniques applied to agriculture,2009,-1
data mining,https://www.taylorfrancis.com/books/mono/10.1201/9781315382586/data-mining-richard-roiger,['RJ Roiger '], Data mining: a tutorial-based primer,2017,-1
data mining,http://georges.gardarin.free.fr/Cours_BD_Web/SQLServer_DM.pdf,"['S Paul', ' J MacLennan', ' Z Tang… ']", Data Mining Tutorial,2005,-1
data mining,http://unbox.org/open/trunk/573/13/fall/doc/img/chapter-v4.pdf,['T Menzies'], Data mining: a tutorial,2014,-1
data mining,https://www.researchgate.net/profile/Stephen-Roberts-17/publication/265527887_A_Data_Mining_Tutorial/links/54ad0c3d0cf24aca1c6bb3f3/A-Data-Mining-Tutorial.pdf,"['G Williams', 'M Hegland', 'S Roberts']", A data mining tutorial,1998,-1
data mining,https://cs.ou.edu/~database/documents/gg99.pdf,"['M Goebel', ' L Gruenwald ']",A survey of data mining and knowledge discovery software tools,1999,-1
data mining,https://arxiv.org/pdf/1211.5723,"['N Padhy', 'D Mishra', 'R Panigrahi']",The survey of data mining applications and feature scope,2012,-1
data mining,https://www.academia.edu/download/44962768/A_survey_of_data_mining_techniques_appli20160421-14314-xnoewq.pdf,"['A Mucherino', 'P Papajorgji', 'PM Pardalos']",A survey of data mining techniques applied to agriculture,2009,-1
data mining,https://www.taylorfrancis.com/books/mono/10.1201/9781315382586/data-mining-richard-roiger,['RJ Roiger '], Data mining: a tutorial-based primer,2017,-1
data mining,http://georges.gardarin.free.fr/Cours_BD_Web/SQLServer_DM.pdf,"['S Paul', ' J MacLennan', ' Z Tang… ']", Data Mining Tutorial,2005,-1
data mining,http://unbox.org/open/trunk/573/13/fall/doc/img/chapter-v4.pdf,['T Menzies'], Data mining: a tutorial,2014,-1
data mining,https://www.researchgate.net/profile/Stephen-Roberts-17/publication/265527887_A_Data_Mining_Tutorial/links/54ad0c3d0cf24aca1c6bb3f3/A-Data-Mining-Tutorial.pdf,"['G Williams', 'M Hegland', 'S Roberts']", A data mining tutorial,1998,-1
data mining,https://cs.ou.edu/~database/documents/gg99.pdf,"['M Goebel', ' L Gruenwald ']",A survey of data mining and knowledge discovery software tools,1999,-1
data mining,https://arxiv.org/pdf/1211.5723,"['N Padhy', 'D Mishra', 'R Panigrahi']",The survey of data mining applications and feature scope,2012,-1
data mining,https://www.academia.edu/download/44962768/A_survey_of_data_mining_techniques_appli20160421-14314-xnoewq.pdf,"['A Mucherino', 'P Papajorgji', 'PM Pardalos']",A survey of data mining techniques applied to agriculture,2009,-1
