Keyword,Title_length,Book,BookChapter,Conference,Dataset,Journal,Patent,Repository,Thesis,NULL:unknown,year,page_length,n_citation,author_num,keywords_length,keyword_in_title,keyword_in_keywords,label,title,keywords
classification,8,False,False,False,False,True,False,False,False,False,1992,0,50,2,41,True,True,-1,a survey and classification of hypertext documentation systems,"[u'software', u'hipertexto', u'hypertext documentation systems', u'articulo sintesis', u'logiciel', u'application software', u'system information', u'article synthese', u'characteristics', u'publishing', u'definicion', u'presentation', u'classification', u'hypertext systems', u'document production', u'documentation publishing graphics hypertext systems production systems navigation application software hardware terminology computer science', u'hypermedia', u'caracteristicas', u'navigation', u'definition', u'caracteristiques', u'traitement document', u'documentacion', u'typology', u'production systems', u'logicial', u'system information survey classification hypertext documentation systems publishing document production presentation functionality', u'terminology', u'functionality', u'typologie', u'document processing', u'computer science', u'review', u'survey', u'hypertexte', u'hypertext', u'graphics', u'documentation', u'tipologia', u'tratamiento documento', u'hardware']"
data mining,8,False,False,False,False,False,False,False,False,False,2013,0,50,3,8,True,True,0,a survey on parallelization of data mining techniques,"[u'paper', u'overview', u'data mining', u'cuda', u'nvidia', u'algorithms', u'computer science', u'opencl']"
cloud computing,10,False,False,True,False,False,False,False,False,False,2010,0,85,2,18,True,True,0,a brief survey on the security model of cloud computing,"[u'software', u'security model', u'computer network security', u'computer network technology', u'security cloud computing clouds computational modeling computer architecture software servers', u'computer network', u'computer architecture', u'servers', u'computational modeling', u'internet', u'security problems', u'cloud services security model cloud computing computer network technology', u'clouds', u'internet computer network security', u'security model cloud computing security problems', u'cloud services', u'security', u'cloud computing']"
cloud computing,13,False,False,False,False,True,False,False,False,False,2011,0,1887,2,29,True,True,0,review: a survey on security issues in service delivery models of cloud computing,"[u'software', u'besoin de l utilisateur', u'user needs', u'virtualization', u'learning', u'logiciel', u'securite', u'information technology', u'necesidad usuario', u'technologie information', u'aprendizaje', u'nube', u'apprentissage', u'data privacy', u'user need', u'clouds', u'safety', u'logicial', u'computer hardware', u'nuage', u'data protection', u'tecnologia informacion', u'security', u'seguridad', u'materiel informatique', u'confidentialite donnee', u'cloud computing', u'service delivery', u'hardware']"
security,7,False,False,True,False,False,False,False,False,False,2011,0,50,2,19,True,True,0,security in model driven development: a survey,"[u'analytical models', u'software', u'mda', u'survey mdd mda security', u'software engineering security of data', u'software engineering', u'model driven development', u'software development model driven development security', u'business', u'unified modeling language', u'unified modeling language business programming access control analytical models software', u'access control', u'security', u'survey', u'programming', u'mdd', u'security of data', u'analytical model', u'chapter']"
security,8,False,False,True,False,False,False,False,False,False,2007,0,50,2,25,False,True,0,a survey of approaches to adaptive application security,"[u'dynamic change', u'information security', u'application software', u'authentication', u'information security adaptive systems authorization application software software engineering runtime access control software systems permission programming', u'software systems', u'software fault tolerance', u'safety critical software adaptive application security adaptive software security authentication authorization software fault tolerance', u'runtime', u'software engineering', u'system security', u'software security', u'permission', u'adaptive systems', u'adaptive application security', u'adaptive applications', u'safety critical software', u'secure system', u'adaptive system', u'authorization', u'access control', u'adaptive software security', u'environmental change', u'programming', u'security of data']"
security,7,False,False,False,False,True,False,False,False,False,2015,0,50,4,19,True,True,0,security in software defined networks: a survey,"[u'software', u'control systems', u'application plane', u'protocols', u'openflow', u'communication networks', u'standards', u'data plane sdn openflow network security sdn security application plane control plane', u'network security', u'software defined networking computer network security', u'sdn security', u'computer architecture', u'data plane', u'control plane', u'computer security communication networks computer architecture control systems software defined networking network security', u'application plane control plane data plane network security openflow sdn sdn security', u'sdn', u'itu t recommendation software defined network security data planes network control network intelligence network state global visibility centralized control plane sdn architecture network forensics security policy alteration security service insertion security threats', u'security']"
security,10,False,False,True,False,False,False,False,False,False,2010,0,85,2,18,True,True,0,a brief survey on the security model of cloud computing,"[u'software', u'security model', u'computer network security', u'computer network technology', u'security cloud computing clouds computational modeling computer architecture software servers', u'computer network', u'computer architecture', u'servers', u'computational modeling', u'internet', u'security problems', u'cloud services security model cloud computing computer network technology', u'clouds', u'internet computer network security', u'security model cloud computing security problems', u'cloud services', u'security', u'cloud computing']"
security,9,False,False,False,False,False,False,False,False,False,2010,0,50,1,17,False,True,-1,survey of scada security challenges and potential attack vectors,"[u'software', u'object recognition', u'authentication', u'system security', u'cryptography', u'scad a security challenges', u'potential attack vectors scad a security challenges', u'scada system', u'power generation', u'potential attack vectors', u'scada systems', u'critical infrastructure', u'fires', u'ethernet networks', u'security of data scada systems', u'software cryptography fires ethernet networks authentication object recognition', u'security of data']"
security,13,False,False,False,False,True,False,False,False,False,2011,0,1887,2,29,True,True,0,review: a survey on security issues in service delivery models of cloud computing,"[u'software', u'besoin de l utilisateur', u'user needs', u'virtualization', u'learning', u'logiciel', u'securite', u'information technology', u'necesidad usuario', u'technologie information', u'aprendizaje', u'nube', u'apprentissage', u'data privacy', u'user need', u'clouds', u'safety', u'logicial', u'computer hardware', u'nuage', u'data protection', u'tecnologia informacion', u'security', u'seguridad', u'materiel informatique', u'confidentialite donnee', u'cloud computing', u'service delivery', u'hardware']"
